Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Value_co2_emissions_kt_by_country
0.01,0.0,0.13,360.0000143
0.01,0.0,0.14,370.0000048
0.03,0.0,0.15,389.9999857
0.04,0.0,0.15,379.9999952
0.03,0.0,0.15,400.000006
0.03,0.0,0.16,439.9999976
0.08,0.0,0.21,529.9999714
0.1,0.0,0.17,689.9999976
0.12,0.0,0.24,720.0000286
0.11,0.0,0.24,0.0
0.42,0.0,0.05,1960.0
0.48,0.0,0.03,2150.0
0.66,0.0,0.03,2210.000038
0.67,0.0,0.04,2380.000114
0.73,0.0,0.03,2380.000114
0.86,0.0,0.04,2660.000086
0.98,0.0,0.13,2960.000038
1.25,0.0,0.16,3660.000086
1.23,0.0,0.16,4059.999943
1.02,0.0,0.15,4750.0
0.81,0.0,0.12,5139.999866
0.81,0.0,0.18,5360.000134
0.51,0.0,0.86,5670.000076
0.47,0.0,1.26,5739.999771
1.03,0.0,1.96,6949.999809
2.1,0.0,2.16,8430.000305
2.62,0.0,2.81,11069.99969
3.7,0.0,3.07,12689.99958
2.96,0.0,5.0,14579.99992
3.94,0.0,4.51,16180.00031
3.83,0.0,4.62,0.0
0.04,0.0,3.41,5210.0
0.06,0.0,3.44,5160.0
0.11,0.0,3.15,5130.000114
0.15,0.0,3.49,5210.000038
0.18,0.0,3.88,5119.999886
0.22,0.0,3.73,5019.999981
0.54,0.0,3.85,5090.000153
1.24,0.0,3.81,6130.000114
1.29,0.0,4.19,6389.999866
1.59,0.0,3.98,7030.00021
1.49,0.0,4.22,7010.000229
1.38,0.0,4.35,6809.999943
1.09,0.0,4.21,6880.000114
1.82,0.0,4.33,7550.000191
2.33,0.0,4.34,8250.0
3.37,0.0,4.33,8460.000038
2.58,0.0,4.34,9079.999924
2.78,0.0,5.06,9170.000076
3.29,0.0,4.99,9590.000153
2.99,0.0,5.36,9430.000305
2.84,0.0,5.45,0.0
155.56,69.16,363.7,514220.0
159.93,72.86,339.58,506620.0
155.12,71.75,357.06,524349.9756
157.35,71.15,343.88,544539.978
148.86,85.87,347.68,536419.9829
150.78,86.83,368.86,549030.0293
139.71,92.44,360.48,540530.0293
149.36,88.19,375.42,571630.0049
141.33,88.3,385.21,550469.9707
129.76,85.13,380.24,521320.0073
130.08,85.53,366.21,537010.0098
131.3,88.29,391.95,549289.978
124.2,89.49,398.58,546210.022
122.87,97.58,417.28,555659.9731
122.75,101.21,412.13,561679.9927
125.7,96.05,417.2,558700.0122
122.35,95.69,426.84,556830.0171
113.7,95.57,435.43,568080.0171
112.47,95.03,428.39,580090.0269
110.65,95.47,421.8,580210.022
102.19,92.65,429.24,0.0
0.02,0.0,0.08,240.0
0.02,0.0,0.08,250.0
0.02,0.0,0.08,250.0
0.02,0.0,0.08,230.0000042
0.03,0.0,0.12,230.0000042
0.03,0.0,0.13,219.9999988
0.03,0.0,0.14,230.0000042
0.02,0.0,0.14,239.9999946
0.02,0.0,0.14,170.0000018
0.02,0.0,0.14,170.0000018
0.03,0.0,0.13,170.0000018
0.03,0.0,0.15,189.9999976
0.03,0.0,0.15,200.000003
0.0,0.0,0.14,119.9999973
0.0,0.0,0.17,129.9999952
0.0,0.0,0.17,189.9999976
0.0,0.0,0.17,209.9999934
0.0,0.0,0.15,219.9999988
0.0,0.0,0.15,230.0000042
0.0,0.0,0.15,239.9999946
0.0,0.0,0.15,0.0
0.08,0.0,0.01,290.0
0.09,0.0,0.01,340.0
0.09,0.0,0.01,400.000006
0.1,0.0,0.01,449.9999881
0.11,0.0,0.01,449.9999881
0.11,0.0,0.01,479.9999893
0.12,0.0,0.01,509.9999905
0.12,0.0,0.0,500.0
0.14,0.0,0.0,540.0000215
0.17,0.0,0.01,790.0000215
0.18,0.0,0.01,1240.00001
0.18,0.0,0.01,1100.000024
0.23,0.0,0.0,1860.000014
0.26,0.0,0.0,2190.000057
0.27,0.0,0.0,2259.99999
0.28,0.0,0.0,2390.000105
0.28,0.0,0.01,2210.000038
0.29,0.0,0.01,2150.000095
0.29,0.0,0.01,2190.000057
0.3,0.0,0.01,2250.0
0.28,0.0,0.01,0.0
20.42,0.0,18.48,50420.0
19.59,0.0,21.03,48430.0
19.87,0.0,22.5,49119.99893
23.3,0.0,21.84,50200.00076
27.79,0.0,20.87,54970.00122
25.2,0.0,25.42,55970.00122
25.54,0.0,28.03,57150.00153
33.69,0.0,22.29,64569.99969
32.59,0.0,23.78,67989.99786
32.12,0.0,24.57,65449.99695
36.71,0.0,21.55,69750.0
41.0,0.0,21.04,76470.00122
45.17,0.0,20.59,78410.00366
48.0,0.0,20.17,83000.0
44.51,0.0,25.44,76559.99756
44.37,0.0,27.38,82230.00336
49.09,0.0,24.27,86489.99786
44.9,0.0,29.32,87069.99969
43.85,0.0,32.89,86610.00061
45.16,0.0,32.23,91370.00275
43.69,0.0,34.06,0.0
1113.3,16.74,225.56,3346530.0
1182.59,17.47,280.73,3529080.0
1337.46,25.13,291.41,3810060.059
1579.96,43.34,287.28,4415910.156
1795.41,50.47,357.43,5124819.824
2042.8,53.09,404.37,5824629.883
2364.16,54.84,446.72,6437470.215
2718.7,62.13,500.71,6993180.176
2762.29,68.39,665.08,7199600.098
2980.2,70.05,664.39,7719069.824
3326.19,74.74,786.38,8474919.922
3811.77,87.2,792.38,9282549.805
3869.38,98.32,999.56,9541870.117
