Electricity from fossil fuels (TWh),Value_co2_emissions_kt_by_country
0.41,560.0000024
0.09,400.000006
0.17,460.0000083
0.08,419.9999869
0.06,419.9999869
0.05,400.000006
0.06,419.9999869
0.05,0.0
0.04,130.0
0.05,150.0
0.04,119.9999973
0.05,140.0000006
0.04,159.9999964
0.05,159.9999964
0.05,170.0000018
0.06,180.0000072
0.06,180.0000072
0.06,500.0
0.07,180.0000072
0.06,180.0000072
0.07,250.0
0.06,170.0000018
0.07,180.0000072
0.08,180.0000072
0.07,180.0000072
0.05,170.0000018
0.04,170.0000018
0.07,170.0000018
0.12,0.0
7.34,18670.0
9.07,18980.0
10.98,20879.99916
11.38,18729.99954
9.58,17280.00069
10.14,18690.00053
11.36,20370.00084
11.98,20629.99916
10.34,20579.99992
10.13,19659.99985
12.5,20680.00031
13.33,20909.99985
13.86,21680.00031
14.54,21290.00092
14.63,21450.00076
15.59,23590.00015
16.53,24590.00015
16.07,23549.99924
16.89,25309.99947
16.91,27229.99954
13.74,0.0
2.82,22050.0
3.74,24250.0
4.1,24170.00008
4.11,24659.99985
5.59,26180.00031
5.09,28219.99931
6.17,30129.99916
7.33,30639.99939
6.68,31690.00053
8.36,34500.0
9.77,37250.0
8.47,37099.99847
9.57,37090.00015
10.98,39700.00076
11.36,41799.99924
11.34,41520.00046
10.77,39810.00137
7.4,38549.99924
7.97,40139.99939
7.09,39290.00092
6.45,0.0
1.7,5630.0
1.46,5870.0
1.57,5940.000057
1.46,6510.000229
1.61,6679.999828
1.64,6840.000153
2.11,7239.999771
2.21,7630.000114
2.08,6909.999847
2.38,6679.999828
2.0,6539.999962
1.97,6780.00021
2.08,6769.999981
2.15,6460.000038
2.1,6590.000153
2.44,7000.0
2.34,7170.000076
1.55,6380.000114
1.38,6809.999943
1.84,7800.000191
1.29,0.0
0.08,2220.0
0.05,3400.0
0.1,4630.000114
0.11,5010.000229
0.16,6199.999809
0.19,8319.999695
0.25,9369.999886
0.31,8539.999962
0.41,9779.999733
0.46,9710.000038
0.55,9949.999809
0.62,9989.999771
0.67,9819.999695
